BuildingId,Product,Floor,ConsumedQuantity,SupplyDate
5cec3487a789fd29cc116fdd,sugar,1st,3,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,sugar,1st,4,2019-06-15 12:30:00
5cec3487a789fd29cc116fdd,sugar,1st,4,2019-07-01 12:30:00
5cec3487a789fd29cc116fdd,sugar,1st,3,2019-07-18 12:30:00
5cec3487a789fd29cc116fdd,sugar,2nd,2,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,sugar,2nd,3,2019-06-06 12:30:00
5cec3487a789fd29cc116fdd,sugar,2nd,3,2019-06-16 12:30:00
5cec3487a789fd29cc116fdd,sugar,3rd,3,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,sugar,3rd,2,2019-06-10 12:30:00
5cec3487a789fd29cc116fdd,coffe,1st,3,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,coffe,1st,4,2019-06-01 12:30:00
5cec3487a789fd29cc116fdd,coffe,1st,3,2019-06-04 12:30:00
5cec3487a789fd29cc116fdd,coffe,1st,5,2019-06-07 12:30:00
5cec3487a789fd29cc116fdd,coffe,2nd,4,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,coffe,2nd,3,2019-06-02 12:30:00
5cec3487a789fd29cc116fdd,coffe,2nd,3,2019-06-05 12:30:00
5cec3487a789fd29cc116fdd,coffe,2nd,4,2019-06-07 12:30:00
5cec3487a789fd29cc116fdd,coffe,3rd,3,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,coffe,3rd,2,2019-06-04 12:30:00
5cec3487a789fd29cc116fdd,coffe,3rd,3,2019-06-08 12:30:00
5cec3487a789fd29cc116fdd,coffe,7th,4,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,coffe,7th,2,2019-06-11 12:30:00
5cec3487a789fd29cc116fdd,tea,1st,3,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,tea,1st,2,2019-06-06 12:30:00
5cec3487a789fd29cc116fdd,tea,1st,4,2019-06-11 12:30:00
5cec3487a789fd29cc116fdd,tea,2nd,3,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,tea,2nd,4,2019-06-11 12:30:00
5cec3487a789fd29cc116fdd,tea,3rd,2,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,tea,3rd,3,2019-06-11 12:30:00
5cec3487a789fd29cc116fdd,tea,7th,2,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,tea,7th,3,2019-06-06 12:30:00
5cec3487a789fd29cc116fdd,tea,7th,2,2019-06-16 12:30:00
5cec3487a789fd29cc116fdd,tea,7th,2,2019-06-22 12:30:00
5cec3487a789fd29cc116fdd,tea,7th,3,2019-06-30 12:30:00
5cec3487a789fd29cc116fdd,honey,1st,2,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,honey,1st,3,2019-06-21 12:30:00
5cec3487a789fd29cc116fdd,honey,1st,2,2019-07-16 12:30:00
5cec3487a789fd29cc116fdd,honey,2nd,2,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,honey,2nd,2,2019-06-15 12:30:00
5cec3487a789fd29cc116fdd,honey,3rd,3,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,honey,3rd,2,2019-07-01 12:30:00
5cec3487a789fd29cc116fdd,honey,7th,2,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,milk,1st,4,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,milk,1st,5,2019-06-01 12:30:00
5cec3487a789fd29cc116fdd,milk,1st,4,2019-06-06 12:30:00
5cec3487a789fd29cc116fdd,milk,1st,2,2019-06-04 12:30:00
5cec3487a789fd29cc116fdd,milk,2nd,3,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,milk,2nd,4,2019-05-31 12:30:00
5cec3487a789fd29cc116fdd,milk,2nd,5,2019-06-03 12:30:00
5cec3487a789fd29cc116fdd,milk,3rd,3,2019-05-28 12:30:00
5cec3487a789fd29cc116fdd,milk,3rd,5,2019-05-30 12:30:00
5cec3487a789fd29cc116fdd,milk,7th,4,2019-05-28 12:30:00
5cec3487a789fd29cc116fde,sugar,1st,3,2019-05-28 12:30:00
5cec3487a789fd29cc116fde,sugar,1st,2,2019-06-20 12:30:00
5cec3487a789fd29cc116fde,sugar,2nd,2,2019-05-28 12:30:00
5cec3487a789fd29cc116fde,tea,2nd,4,2019-05-28 12:30:00
5cec3487a789fd29cc116fde,tea,2nd,3,2019-07-01 12:30:00
5cec3487a789fd29cc116fde,tea,1st,4,2019-05-28 12:30:00
5cec3487a789fd29cc116fde,coffe,1st,3,2019-05-28 12:30:00
5cec3487a789fd29cc116fde,coffe,1st,4,2019-06-12 12:30:00
5cec3487a789fd29cc116fde,coffe,2nd,1,2019-05-28 12:30:00
5cec3487a789fd29cc116fde,coffe,2nd,3,2019-06-01 12:30:00
5cec3487a789fd29cc116fde,milk,1st,4,2019-05-28 12:30:00
5cec3487a789fd29cc116fde,milk,2nd,5,2019-05-28 12:30:00
5cec3487a789fd29cc116fde,honey,1st,2,2019-05-28 12:30:00
5cec3487a789fd29cc116fdf,null,1st floor,1,2019-05-27 22:03:35
