BuildingId,Product,Floor,ConsumedQuantity,SupplyDate
5cff9728be953d0474764293,sugar,1st,3,2019-05-28 12:30:00
5cff9728be953d0474764293,sugar,1st,4,2019-06-15 12:30:00
5cff9728be953d0474764293,sugar,1st,4,2019-07-01 12:30:00
5cff9728be953d0474764293,sugar,1st,3,2019-07-18 12:30:00
5cff9728be953d0474764293,sugar,2nd,2,2019-05-28 12:30:00
5cff9728be953d0474764293,sugar,2nd,3,2019-06-06 12:30:00
5cff9728be953d0474764293,sugar,2nd,3,2019-06-16 12:30:00
5cff9728be953d0474764293,sugar,3rd,3,2019-05-28 12:30:00
5cff9728be953d0474764293,sugar,3rd,2,2019-06-10 12:30:00
5cff9728be953d0474764293,sugar,2,3,2019-06-10 12:30:00
5cff9728be953d0474764293,coffe,1st,3,2019-05-28 12:30:00
5cff9728be953d0474764293,coffe,1st,4,2019-06-01 12:30:00
5cff9728be953d0474764293,coffe,1st,3,2019-06-04 12:30:00
5cff9728be953d0474764293,coffe,1st,5,2019-06-07 12:30:00
5cff9728be953d0474764293,coffe,2nd,4,2019-05-28 12:30:00
5cff9728be953d0474764293,coffe,2nd,3,2019-06-02 12:30:00
5cff9728be953d0474764293,coffe,2nd,3,2019-06-05 12:30:00
5cff9728be953d0474764293,coffe,2nd,4,2019-06-07 12:30:00
5cff9728be953d0474764293,coffe,3rd,3,2019-05-28 12:30:00
5cff9728be953d0474764293,coffe,3rd,2,2019-06-04 12:30:00
5cff9728be953d0474764293,coffe,3rd,3,2019-06-08 12:30:00
5cff9728be953d0474764293,coffe,7th,4,2019-05-28 12:30:00
5cff9728be953d0474764293,coffe,7th,2,2019-06-11 12:30:00
5cff9728be953d0474764293,tea,1st,3,2019-05-28 12:30:00
5cff9728be953d0474764293,tea,1st,2,2019-06-06 12:30:00
5cff9728be953d0474764293,tea,1st,4,2019-06-11 12:30:00
5cff9728be953d0474764293,tea,2nd,3,2019-05-28 12:30:00
5cff9728be953d0474764293,tea,2nd,4,2019-06-11 12:30:00
5cff9728be953d0474764293,tea,3rd,2,2019-05-28 12:30:00
5cff9728be953d0474764293,tea,3rd,3,2019-06-11 12:30:00
5cff9728be953d0474764293,tea,7th,2,2019-05-28 12:30:00
5cff9728be953d0474764293,tea,7th,3,2019-06-06 12:30:00
5cff9728be953d0474764293,tea,7th,2,2019-06-16 12:30:00
5cff9728be953d0474764293,tea,7th,2,2019-06-22 12:30:00
5cff9728be953d0474764293,tea,7th,3,2019-06-30 12:30:00
5cff9728be953d0474764293,tea,2,3,2019-06-12 12:30:00
5cff9728be953d0474764293,honey,1st,2,2019-05-28 12:30:00
5cff9728be953d0474764293,honey,1st,3,2019-06-21 12:30:00
5cff9728be953d0474764293,honey,1st,2,2019-07-16 12:30:00
5cff9728be953d0474764293,honey,2nd,2,2019-05-28 12:30:00
5cff9728be953d0474764293,honey,2nd,2,2019-06-15 12:30:00
5cff9728be953d0474764293,honey,3rd,3,2019-05-28 12:30:00
5cff9728be953d0474764293,honey,3rd,2,2019-07-01 12:30:00
5cff9728be953d0474764293,honey,7th,2,2019-05-28 12:30:00
5cff9728be953d0474764293,honey,1,1,2019-06-12 12:30:00
5cff9728be953d0474764293,milk,1st,4,2019-05-28 12:30:00
5cff9728be953d0474764293,milk,1st,5,2019-06-01 12:30:00
5cff9728be953d0474764293,milk,1st,4,2019-06-06 12:30:00
5cff9728be953d0474764293,milk,1st,2,2019-06-04 12:30:00
5cff9728be953d0474764293,milk,2nd,3,2019-05-28 12:30:00
5cff9728be953d0474764293,milk,2nd,4,2019-05-31 12:30:00
5cff9728be953d0474764293,milk,2nd,5,2019-06-03 12:30:00
5cff9728be953d0474764293,milk,3rd,3,2019-05-28 12:30:00
5cff9728be953d0474764293,milk,3rd,5,2019-05-30 12:30:00
5cff9728be953d0474764293,milk,7th,4,2019-05-28 12:30:00
5cff9728be953d0474764293,milk,1,4,2019-06-08 12:30:00
5cff9741be953d0474764294,sugar,1st,3,2019-05-28 12:30:00
5cff9741be953d0474764294,sugar,1st,2,2019-06-20 12:30:00
5cff9741be953d0474764294,sugar,2nd,2,2019-05-28 12:30:00
5cff9741be953d0474764294,sugar,1,3,2019-06-12 12:30:00
